"Cycle","ID","TransID","CRPFilerid","Recipcode","Pacshort","CRPRecipname","Expcode","Amount","Date","City","State","Zip","CmtelD_EF","Candid","Type","Descrip","PG","ElecOther","EntType","Source"
2002,1,"SB17.8045","N00004887","DW","Citizens for Rush","ComEd","  ",323,"08/08/2001","Chicago","IL","60600    ","         ","","","Debt Reduction","P2000","","ORG",""
2002,2,"SB17.8024","N00004887","DW","Citizens for Rush","David L.Andrukikis, Inc.","  ",306,"08/31/2001","Washington","DC","20003    ","         ","","","Printing - Invoice 11602","P2002","","ORG",""
2002,3,"SB17.8004","N00004887","DW","Citizens for Rush","Hyde Leron","01",6000,"07/17/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,4,"SB17.8027","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"08/16/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,5,"SB17.8088","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"10/05/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,6,"1114200146E3224","C00042622","RP","Republican State Cmte of Massachusetts","Wyndham Westborough Hotel","  ",375,"09/17/2001","Westborough","MA","01581    ","C00042622","","","ROOM RENTAL","     ","","",""
2002,7,"1114200148E3282","C00042622","RP","Republican State Cmte of Massachusetts","XO Communications","01",2545,"11/05/2001","Reading","PA","19610    ","C00042622","","","TELECOMMUNICATIONS","     ","","","@W02"
2002,8,"","C00042622","RP","Republican State Cmte of Massachusetts","Mass Republican State Committee","  ",500,"11/05/2001","Wakefield","MA","01880    ","         ","","","trnsfr. Landry Overcontrib.","     ","","PTY",""
2002,9,"SB17.8124","N00004887","DW","Citizens for Rush","Citibank VISA","02",541,"11/27/2001","Chicago","IL","60600    ","         ","","","Airfare, Meals & Lodging","P2002","","ORG","@W02"
2002,10,"SB17.8087","N00004887","DW","Citizens for Rush","Congressional Black Causas","  ",510,"09/29/2001","Wshington","DC","20000    ","         ","","","Donation - Purchase of Tickets","P2002","","COM",""
2002,11,"SB17.8003","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"07/02/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,12,"SB17.8023","N00004887","DW","Citizens for Rush","Hyde Leron","01",300,"08/10/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,13,"SB17.8076","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"09/21/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,14,"SB17.8103","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"11/03/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,15,"SB17.8020","N00004887","DW","Citizens for Rush","Chicago Independent Bulletin","04",200,"07/02/2001","Chicago","IL","60643    ","         ","","","Advertisement","P2002","","ORG","@W02"
2002,16,"SB17.8047","N00004887","DW","Citizens for Rush","ComEd","01",781,"08/08/2001","Chicago","IL","60600    ","         ","","","Electricity","P2002","","ORG","@W02"
2002,17,"SB17.8096","N00004887","DW","Citizens for Rush","Grand Hyatt Washington","  ",985,"09/30/2001","Washington","DC","20000    ","         ","","","Hotel CBC Weekend","P2002","","ORG",""
2002,19,"SB17.8075","N00004887","DW","Citizens for Rush","Hyde Leron","01",600,"08/31/2001","Chicago","IL","60617    ","         ","","","Salary","P2002","","IND","@W02"
2002,20,"SB17.8089","N00004887","DW","Citizens for Rush","Hyde Leron","  ",600,"10/18/2001","Chicago","IL","60617    ","         ","","","Slary","P2002","","IND",""
2002,21,"1114200148E3268","C00042622","RP","Republican State Cmte of Massachusetts","Water St. Developmnt","  ",3083,"10/23/2001","Wakefield","MA","01880    ","C00042622","","","OCTOBER RENT","     ","","IND",""
2002,22,"SB17.8051","N00004887","DW","Citizens for Rush","Allen John","01",75,"07/26/2001","Chicago","IL","60653    ","         ","","","Office Cleaning","P2002","","IND","@W02"
2002,23,"SB17.8070","N00004887","DW","Citizens for Rush","Allen John","01",75,"08/31/2001","Chicago","IL","60653    ","         ","","","Salary","P2002","","IND","@W02"
2002,24,"SB17.8016","N00004887","DW","Citizens for Rush","Asselta & Company","3 ",3500,"07/02/2001","Chicago","IL","60610    ","         ","","","Fundraising Consultant","P2002","","ORG","@W02"
2002,25,"SB17.8066","N00004887","DW","Citizens for Rush","Asselta & Company","  ",15061,"08/22/2001","Chicago","IL","60610    ","         ","","","Contractual Fee - Fundraising","P2002","","ORG","@W02"
2002,26,"SB17.8065","N00004887","DW","Citizens for Rush","Bermar Stripping, Inc.","  ",1830,"08/31/2001","Tinley Park","IL","60477    ","         ","","","Refinishing of Congressman's Desk","P2002","","ORG",""
2002,27,"SB17.8026","N00004887","DW","Citizens for Rush","Chicago Daily Defender","  ",514,"08/15/2001","Chicago","IL","60616    ","         ","","","Advertusement","P2002","","ORG",""
2002,28,"0727200156E3201","C00042622","RP","Republican State Cmte of Massachusetts","Fletcher Jonathan","01",1073,"07/23/2001","Boston","MA","02114    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,29,"1114200149E3305","C00042622","RP","Republican State Cmte of Massachusetts","Fletcher Jonathan","01",1073,"10/17/2001","Boston","MA","02114    ","C00042622","","","PAYROLL","     ","","IND","@W02"
2002,31,"072120014E3200","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",810,"07/20/2001","Boston","MA","02109    ","C00042622","","","PAYROLL TAX","     ","","","@W02"
2002,32,"1114200149E3292","C00042622","RP","Republican State Cmte of Massachusetts","Liberty Bank & Trust","01",22,"07/25/2001","Boston","MA","02109    ","C00042622","","","SERVICE CHARGE","     ","","","@W02"
