id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,Junior college,Below average,Not str republican,About right,Not applicable,Trump
2,A great deal,A great deal,A great deal,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Separated,High school,Far below average,"Ind,near dem",Not applicable,Too little,Trump
3,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,40,Private,Married,Bachelor,Above average,"Ind,near rep",Too little,Not applicable,Trump
4,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Oppose,40,Private,Married,Bachelor,Above average,"Ind,near dem",Not applicable,Too much,Don't know
5,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Divorced,Graduate,Below average,Strong republican,Not applicable,Too little,Trump
6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Widowed,Bachelor,Average,"Ind,near dem",Not applicable,About right,Clinton
7,A great deal,Only some,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Favor,35,Government,Divorced,High school,Average,Strong democrat,Not applicable,Too little,Clinton
8,Hardly any,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,89,Private,Never married,High school,Far below average,Not str republican,Too much,Not applicable,Trump
9,Hardly any,Only some,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,40,Private,Widowed,Lt high school,Far below average,Independent,Too little,Not applicable,Not applicable
10,Only some,Only some,Only some,A great deal,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,40,Private,Married,High school,Average,Not str democrat,Not applicable,About right,Trump
11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,40,Private,Divorced,Graduate,Above average,Strong republican,Not applicable,About right,Trump
12,Only some,Hardly any,Only some,A great deal,Yes,Not applicable,Disagree,Agree,Not applicable,Favor,20,Private,Separated,High school,Average,Not str democrat,Not applicable,Too much,Clinton
13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Divorced,High school,Above average,Not str democrat,Too little,Not applicable,Not applicable
14,Only some,Only some,Only some,Only some,No,No,Not applicable,Strongly agree,Favor,Favor,40,Private,Married,Bachelor,Far below average,Strong democrat,Not applicable,Too much,Not applicable
15,A great deal,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,High school,Below average,"Ind,near rep",About right,Not applicable,Not applicable
16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,19,Private,Widowed,High school,Average,Independent,Not applicable,Don't know,Not applicable
17,Only some,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Agree,Not applicable,Oppose,Not applicable,Private,Married,Bachelor,Below average,"Ind,near dem",Not applicable,Too much,Clinton
18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Married,Bachelor,Below average,Independent,Don't know,Not applicable,Not applicable
19,A great deal,Only some,Only some,Only some,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,40,Government,Divorced,Graduate,Above average,Not str democrat,About right,Not applicable,Clinton
20,Only some,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Agree,Not applicable,Favor,40,Private,Never married,Graduate,Below average,"Ind,near rep",Not applicable,Don't know,Trump
21,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,42,Government,Married,High school,Below average,Not str republican,Too little,Not applicable,Not applicable
22,Only some,Only some,Only some,Don't know,No,No,Not applicable,Disagree,Favor,No answer,Not applicable,Not applicable,Never married,Junior college,Average,Not str republican,Not applicable,Don't know,Trump
23,Only some,A great deal,Only some,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,32,Private,Married,Junior college,Above average,"Ind,near dem",About right,Not applicable,Clinton
24,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,50,Private,Never married,High school,Average,Strong democrat,Not applicable,Too much,Clinton
25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,15,Private,Married,Bachelor,Average,Not str republican,Too much,Not applicable,Trump
26,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Widowed,Lt high school,Average,Not str republican,About right,Not applicable,No answer
27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,33,Private,Divorced,High school,Average,Not str democrat,Too much,Not applicable,Trump
28,Only some,Only some,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Oppose,Favor,Not applicable,Not applicable,Never married,Lt high school,Average,Not str democrat,Not applicable,Too little,Clinton
29,A great deal,Only some,A great deal,A great deal,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Private,Divorced,High school,Far below average,Strong republican,Too little,Not applicable,Don't know
30,Only some,A great deal,A great deal,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,40,Private,Never married,High school,Above average,"Ind,near rep",About right,Not applicable,Not applicable
31,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,High school,Below average,"Ind,near rep",Not applicable,Too little,Trump
